	Unnamed: 0	topic_id	facet_id	facet	initial_request	question1	answer1	question2	answer2	question3	answer3
385	385	216	F0488	What movies has Nicolas Cage appeared in?	which are famous movies where Nicolas Cage appeared?	would you like to see the top ten most popular nicolas cage movies	yes i want to see a list of movies hes been in	would you like to see a list of nicolas cage movies	yes, tell me all of the movies he's acted in	do you want to watch some nicolas cage movies	No, I would just like to know what movies he has appeared in.
386	386	201	F0421	How much does a basic raspberry pi cost?	I would like to know more about raspberry pi	do you want to know where raspberry pi is made	no i am only interested in how much it will cost me	would you like to buy raspberry pi computer	No.	would you like to know about raspberry pi os	Yes, specifically the cost.
387	387	225	F0515	Find Pittsburgh Steelers merchandise for sale.	I'm looking for black and gold.	are you looking for objects that are black and gold	no im looking for pittsburgh steelers memorabilia for sale	are you wanting to find black and gold logos	No, im looking for Pittsburgh steels merchandise	do you need directions to the nearest black and gold store	no, I want information on Pittsburgh Steelers collectibles.
388	388	281	F0705	What are the side effects of a ketogenic diet?	What is a ketogenic diet?	are you looking for diet information	I don't understand your question.	do you want to learn about the history of dieting	No, i want to know the effects of a ketogenic diet	do you want to know if dieting is safe	yes, but more specifically the side effects of a ketogenic diet.
389	389	201	F0421	How much does a basic raspberry pi cost?	I would like to know more about raspberry pi	would you like to know about raspberry pi camera	how much it cost	when was raspberry pi created	I'm not interested in that.	do you want to know where raspberry pi is made	No, I would like to now what is the price of a basic raspberry pi.
390	390	297	F0755	What is altitude sickness?	Tell me about altitude sickness.	would you like to know how to reverse altitude sickness	no i want to know what it is	do you want to know the symptoms of altitude sickness	I want to know what causes it first.	are you looking for altitude sickness remedies	No more just what it is exactly.
391	391	210	F0465	Is there a golf gps system that can be used world wide?	golf gps	would you like a comparison of golf gps systems	is there one that can be used world wide	are you interested in the history of gps systems in golf	I don't know	are you interested in the accuracy of the gps	I just need to know which ones can be used worldwide?
392	392	273	F0665	Find Wilson (Wilson's) Disease Association web site.	Give me information on wilson's disease.	are you interested in description of the disease	I don't understand your question.	would you like to hear about treatments for this disease	No, I want the association's website.		I need the website on Wilson's disease Association
393	393	254	F0599	What is the recommended diet for Barrett's Esophagus?	Tell me about barrett's esophagus	would you like to know what is a suitable feet for someone who has barrets esophagus	yes feet recommendations would be great	do you want to know if barretts esophagus is serious	No I want to know what diet is best for it.	do you want to learn more about the risk factors for barretts esophagus	No just which diet to follow.
394	394	215	F0483	How do you get a Maryland fishing license?	Info on maryland department of natural resources	do you want to know what jobs are available at the maryland department of natural resources	no i am interested on how you get a maryland fishing licence	are you referring to the the department of natural resources in maryland	I don't know	would you like to know the responsibilities of the maryland department of natural resources	Yes I would.
395	395	275	F0680	What methods were used for the recovery of the USS Cole?	Tell me about USS Cole.	would you like to know where the uss cole is	no i want to know how it was recovered	would you like to know how the uss cole was repaired	Yes that is right	would you like to know the history of the uss cole	Yes, I would like to know the history of the USS Cole.
396	396	269	F0645	Find information about Marshall County Schools in West Virginia.	Find information about marshall county schools.	which state would you like to find out about in regards to marshall county schools	west virginia	what state are you searching for marshall county schools	In West Virginia, in Marshall County.	would like to know a list of marshall county schools in your state	No, only in West Virginia.
397	397	233	F0538	Find reviews of hair dye removers.	Tell me about hair dye.	are you interested in a particular hair dye or a history of hair dye	no i need reviews of hair dye removers	do you know what color of hair dye to use	I just need to know different reviews of hair dye removers	what color of hair dye are you looking for	No, i am wanting to have differents kinds of reviews for hair dye removers.
398	398	237	F0551	Find information about difficulty in swallowing caused by a lump in the throat.	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	yes and what i can do to stop it	would you like to view sad movies or shows that give you a lump in your throat	No, I want information about the difficulty in swallowing caused by a lump in the throat.	are you interested in the reasons a lump in the throat occurs	yes, I am interested in the reasons.
399	399	289	F0728	Find the benefits of yoga nidra.	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	no i want to know what the benefits are of doing the type of yoga called nidra	are you referring to benefits of yoga essay	I don't know	are you interested in videos listing the benefits of yoga	Just the benefits of yoga nidra.
400	400	235	F0544	What are the ham radio call signs?	How do you get a ham radio license?	do you need instructions on how to operate a ham radio	no i would like to know the ham radio call signs	do you want to know how to get a license	I don't know	would you like to learn about the license classes	No, I just want to know the call signs.
401	401	267	F0643	What are the lyrics to the song Feliz Navidad?	What are the lyrics to feliz navidad?	are you looking for a translation of the lyrics	no im looking for the actual lyrics	do you want the lyrics on paper or on video	It would be fine to get the lyrics either way - on paper or video.	do you want the text or a video	I would like a text or video of the lyrics
402	402	300	F0773	Find a page that explains how to compute the mean of a set of numbers.	How to compute the mean of a set of numbers	would you like to see how to calculate a mean formula	yes i would like to find information about how to compute the mean of a set of numbers	are you interested in calculating a mean value	yes- but I want to know how to do it myself	would you like to know the definition of the word mean	No I want to know how to compute the mean set of numbers.
403	403	289	F0727	How does yoga benefit runners?	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	yes	are you interested in benefits of yoga classes	Just the benefits of yoga on people that run	are you interested in videos listing the benefits of yoga	Yes but videos specifically on the benefits of yoga for people that run
404	404	230	F0531	What is the world's biggest dog?	tell me about world's biggest dog	would you like to know the largest breed or dog or the actual biggest dog	the actual biggest dog	what breed of dog are you looking for	Whichever breed holds the world	are you interested in which dog breed is considered the biggest	Yes, I would like to know which dog is the biggest.
405	405	299	F0761	What restaurants use pink slime?	What is pink slime in ground beef	do you want to know what a pink slime actually is	no i want to know what restaurants use it	do you want to know if pink slime used at school canteens	No, I want to know which restaurants use pink slime.	would you like to learn about the issues surrounding pink slime in ground beef	No, I just want the restsurants that use it in their meat.
406	406	273	F0669	Find pictures of the Kayser-Fleischer ring that is a sign of Wilson's disease.	Give me information on wilson's disease.	are you interested in description of the disease	I don't understand your question.	would you like to hear about treatments for this disease	No, I  want you to show me pictures of the Kayser-Fleischer ring associated with the disease.	are you looking for the symptoms of this disease	No, just pictures of the Kayser-Fleischer ring, no other symptoms.
407	407	245	F0570	What restaurants are on Roosevelt Island (NY)?	roosevelt island	are you interested in the history of roosevelt island	no i am interested in what restaurants are on roosevelt island ny	would you like to visit roosevelt island	Yes, and I would like to know what restaurants are there now.	would you like to know where roosevelt island is located	No, I'd like to know what restaurants are on the island.
408	408	235	F0541	What are the ham radio license classes?	How do you get a ham radio license?	do you need instructions on how to operate a ham radio	no im looking for the classes of ham licensure	would you like to learn about the popularity of ham radio	No, I want to know about classes for getting a ham radio operators license.	are you looking for holiday classes	Yes, if it is about ham radio license classes.
409	409	213	F0475	How is CTS diagnosed?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	how is it diagnosed	would you like to know how to prevent carpal tunnel syndrome	No, the way it is diagnosed.	are you looking for tests to diagnose carpal tunnel syndrome	Yes, I need to know how CTS is diagnosed.
410	410	276	F0681	How has African American music influenced history, including cultural history?	how has african american music influence history	which time period of african american music history are you interested in	i don know	would you like to hear about significant figures in african american music	I would like to know the influence brought about by the African American Music and culture in history.	are you interested in how african american music influenced american culture	yes,
411	411	285	F0714	What are the effects of too much magnesium?	I'm interested in magnesium rich foods	would you like to know about magnesium rich foods that are kid friendly	no i want to know the consequences of excessive magnesium in the feet	would you like to learn the drawbacks to consuming magnesium rich foods	I don't know	want to learn what other minerals are in foods that are high in magnesium	No, I would like to know the affects of using to much magnesium.
412	412	242	F0560	Which beans can be substituted for cannellini beans?	cannellini beans	are you interested in making soup with cannellini beans	no i just want to know what beans are a substitute for it	are you interested in where to buy cannellini beans	I don't know	are you referring to cannellini bean recipes	No, I want to know which beans can be substituted for cannellini bean recipes.
413	413	291	F0739	What are recreational activities available within the Sangre de Cristo mountains region?	tell me about sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	no i am interested in a list of recreation activities available in the region	do you need directions to sangre de cristo mountains	No, I'd like to know which recreational vehicles I will be able to get in the Sangre de cristo mountain region.	why are you interested in sangre de cristo mountains	I don't know.
414	414	254	F0598	What treatments are available for Barrett's Esophagus?	Tell me about barrett's esophagus	would you like to know what is a suitable feet for someone who has barrets esophagus	no i do not want to know about suitable feets	do you want to know if barretts esophagus is serious	I don't know	do you want to learn more about the risk factors for barretts esophagus	no, i want to learn more about treatment options for Barrett's Esophagus.
415	415	207	F0442	What are the symptoms of BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	no id like to know what the symptoms are	do you want to know what causes bph	Yes and what are the main symptoms.	do you need pain medication to accompany your bph treatment	No, im just interested in the symptoms right now.
416	416	209	F0455	What salary range does a land surveyor receive?	I'm interested to know about land surveyor	are you thinking about a career as a land surveyor	yes i am thinking about a career as a land surveyor i would like to know the salary range of a land surveyor	which type of land surveyor are you interested in	I'm trying to find out how much money land surveors generally make.	what is the salary range of a land surveyor	Yes, that's exactly what I need to know.
417	417	253	F0596	Which antibiotics are used to treat a tooth abscess.	What treatments are available for a tooth abscess?	are you looking for pictures of a tooth abscess	no id like to know what antibiotics are used to treat one	do you want to see a selfquiz to determine if you have a tooth abscess	No, I already asked what kind of antibiotics are they treated with?	do you want to know how a tooth abscess is treated	Yes, specifically which antibiotics are used in that treatment.
418	418	290	F0736	Find information on planting and growing Norway Spruce trees.	Tell me about norway spruce.	what about norway spruce are you looking for	i want to know how to plant and grow them	are you talking about a plant by the name of norway spruce	Yes.	are you asking about a man named norway spruce	No, im talking about the plant with the same name.
419	419	207	F0443	What are the causes of BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	no i want to know which activities cause bhp	do you want to know what causes bph	Yes, what are the causes?	are you looking for any specific support group in relation to fybromyalgia	No, I just want to know about what causes BPH.
420	420	209	F0451	Find job openings for land surveyors.	I'm interested to know about land surveyor	do you want to know more about gear of land surveyor	no i am looking for job openings for a land surveyor	are you thinking about a career as a land surveyor	Yes, and I'd like to see job openings for land surveyors.	are you curious what a land surveyor does	No I want to see available jobs.
421	421	260	F0632	What is the history of the American revolutionary war?	tell me more about the american revolutionary	would you like me to tell you why the american revolution began	yes and i would also like the entire history of the war	would you like to know the years of the american revolution	Yes, and what happened during those years.	did you mean the american revolution	yes
422	422	270	F0655	Find comparisons of Sun Tzu and Machiavelli.	I'm interested in sun tzu	are you interested in books written about sun tzu	i want to know the comparison between sun tzu and machiavelli	would like to know the story behind sun tzu	Yes as I said before	are you interested in learning more about sun tzus art of war	No, I want to know about how Sun Tzu compares to Machiavelli.
423	423	243	F0565	What does the Afghanistan flag's national emblem represent?	Find information about afghanistan flag	would you like to know the origin of the afghanistan flag	yes that would be fine	would you like to know if the afghanistan flag has any symbols	yes and let me know what those symbols mean too	are you interested in the symbolism behind the afghanistan flags design	Yes, I want to know what the Afghanistan flag represents
424	424	222	F0512	Find information on male menopause supplements.	I'm looking for information on male menopause	would you like to know what age men may start male menopause	i want to know about supplements for male menopause	why are you interested in learning more about male menopause	I don't know	are you interested in the differences between male and female menopause	No, I am specifically interested in supplements for male menopause.
425	425	288	F0719	What is the relationship between Ozzie Guillen and Fidel Castro?	I'm interested in Fidel Castro	are you wanting to read about fidel castro biography	yes show me the biography and history of fidel castro	are you interested in what fidel castro did for cuba	Yes i am, but i'd prefer a general bigraphy of Fidel Castro.	do you need to know what fidel castro did for cuba	No, I want to know the relationship between Castro and Ozzie Guillen
426	426	253	F0595	What are the concerns with extracting an abscessed tooth?	What treatments are available for a tooth abscess?	are you looking for pictures of a tooth abscess	no	do you want to see a selfquiz to determine if you have a tooth abscess	No.	do you want to know how a tooth abscess is treated	What can happen after an abscessed tooth is extracted, could anything go wrong?
427	427	274	F0672	Find vacation packages that include golf instruction.	Find information on golf instruction.	are you trying to find out how to become a golf instructor	no	do you want to find out how much a golf instructor charges	I don't know	are you trying to find a golf instructor near you	no, i need golf instructions in vacation packages. Please find this for me.
428	428	242	F0563	What are the nutritional facts for cannellini beans?	cannellini beans	would you like to know where cannellini beans come from	i need to know the nutritional facts	are you trying to find uses for cannellini beans	No, I want to know what their nutritional label says.	are you interested in where to buy cannellini beans	No, what are the nutritional facts for cannellini beans?
429	429	297	F0757	In which cities is high altitude sickness more likely to occur?	Tell me about altitude sickness.	would you like to know how to reverse altitude sickness	no i would like to know what cities have a higher incidence of altitude sickness	are you looking for altitude sickness remedies	no i am not looking for altitude sickness remedie, i want to know the cities that have a higher incidence of altitude sickness	are you looking for the symptoms	Nope just which cities the sickness is more prone to.
430	430	299	F0764	Is pink slime used in school lunches?	What is pink slime in ground beef	do you want to know what a pink slime actually is	no is it used in school lunches	do you want to know if pink slime used at school canteens	I don't know.	would you like to learn about the issues surrounding pink slime in ground beef	Yes, and if it is used at school canteens.
431	431	249	F0582	What is an occupational therapist?	What is an occupational therapist?	do you want to find an occupational therapist	no i want to know what they do	do you want to know what an occupational therapist does	Yes	do you want to know how to become an occupational therapist	No, I would just like to know what their job is as an occupational therapist.
432	432	275	F0679	Find the names of the victims of the USS Cole bombing.	Tell me about USS Cole.	would you like to know where the uss cole is	no i need victims of the bombing	would you like to know about the 2000 uss cole bombing	Yes, I want a list of its victims.	do you want to know about the bombing of the uss cole	no i need the full information about uss cole bombing.
433	433	235	F0540	How do you get a ham radio license?	How do you get a ham radio license?	would you the frequencies of various ham radio stations	no i want to know how to get a license to operate one	would you like a list of stores near you that sell ham radios	Yes, but only if the offer information about getting a ham radio operating license.	want to know which antennas ham radios use	Not yet, right now I just want to know how I can get a ham radio license.
434	434	233	F0534	What commercial hair dyes are available?	Tell me about hair dye.	would you like to know about hair dye brands	yes especially commercial dyes	would you like to know about hair dye colors	Yes, please tell me which hair dye colors are available.	are you interested in hair dye application or removal	No, I just want to know what dyes are available.
435	435	209	F0454	Which schools provide training to become a land surveyor?	I'm interested to know about land surveyor	are you thinking about a career as a land surveyor	yes i would information about schools that offer land surveyor training programs	which type of land surveyor are you interested in	It doesn't matter- just let me know what schools I can go to for it	what is the salary range of a land surveyor	All I care about is which schools train you to become a land surveyor.
436	436	278	F0687	Find quotes from Mister Rogers.	Find information about mister rogers	are you interested in the details of mister rogers life	no i would like to know quotes from mister rogers	would you like some mister rogers quotes	Yes.	would you like a list of quotes by mister rogers	Yes
437	437	298	F0758	What are the medical or health care practices followed by members of the Jehovah's Witnesses religion?	I'm interested in the topic of medical care and jehovah's witnesses	would you like to know about the clinical strategies for medical care of jehovahs witnesses	no i want a broad overview of medical practices followed by their members	are you interested in health care specifically for jehovahs witnesses	sort of, i want to know what restrictions jehovah's witnesses have on medical procedures.	would you like to learn more about jehovahs witnesses beliefs on health care	Yes, I would like to know about those beliefs and what they practice in regard to health care.
438	438	299	F0763	What is ammonia used for in pink slime?	What is pink slime in ground beef	do you want to know what a pink slime actually is	no i want to know what ammonia does with it	do you want to know what ammonia is used for in pink slime	Yes that is right	do you want to know if pink slime used at school canteens	No just why ammonia is in pink slime.
439	439	243	F0566	What does the Afghanistan flag's Arabic inscription mean?	Find information about afghanistan flag	do you want to know how many square miles afghanistan is	I don't understand your question.	would you like to know where afghanistan is on the map	No. What does the flag of Afghanistan's arabic lettering mean?	are you looking for a map of afghanistan	Nope just what the inscription on the flag of theirs represents.
440	440	271	F0657	What activities are good for middle-school-aged children to celebrate Halloween?	Tell me about halloween activities for middle school	are you looking for indoor or outdoor halloween activities for middle school	i don know	would you like to see fun halloween science activities for middle school	Yes I would	are you interested in middle school halloween activities worksheets	yes
441	441	212	F0470	Find information about home theater receivers.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no	are you looking for reviews of the home theater systems	No.	would you like to buy a home theater system	No, I want to get more information about home theater receivers.
442	442	258	F0616	I'm looking for engineering drawings of a hip roof.	Find information on hip roof	would you like to know how to frame a hip roof	i need the engineering drawings for the roof please	are you interested in learning how to construct a hip roof	Can i get the engineering drawings of a hp roof?	do you want to know where hip roofs are popular	No, I want to know about engineering drawings of a hip roof.
443	443	272	F0659	What do dreams about flying mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	yes as long as i can focus in on flying in dreams	do you want to know what dreams mean	Dreams about flying is  what I am most interested in interpreting.	would you like an app on dreams interpretation	No, I just want information on dreams about flying and their meaning.
444	444	299	F0759	What is pink slime?	What is pink slime in ground beef	do you want to know what a pink slime actually is	yes	do you want to know if pink slime used at school canteens	I don't know.	would you like to learn about the issues surrounding pink slime in ground beef	Yes and what is the pink slime in the beef?
445	445	215	F0486	Find information about the Maryland Department of Natural Resources police.	Info on maryland department of natural resources	do you want to know what jobs are available at the maryland department of natural resources	no i wanted information on law enforcement for the maryland department of natural resources	do you want to know the location of maryland department of natural resources	Yes, the location of the police, as well as other information about it.	are you referring to the the department of natural resources in maryland	Yes, I am referring to that department, but specifically the police part of it.
446	446	213	F0474	How is CTS treated?	I'm looking for information on carpal tunnel syndrome	would you like to know how to prevent carpal tunnel syndrome	no i want to know how it is treated	would you like know about carpal tunnel syndrome	No, treatment of CTS.	are you interested in the exercises for carpal tunnel	yes am so much interested.
447	447	242	F0562	Find recipes using cannellini beans.	cannellini beans	are you interested in making soup with cannellini beans	yes	are you interested in where to buy cannellini beans	No, I want recipes with cannellini beans.	are you referring to cannellini bean recipes	Yes, I want to know recipes for the beans.
448	448	271	F0657	What activities are good for middle-school-aged children to celebrate Halloween?	Tell me about halloween activities for middle school	are you looking for foodie halloween activities for middle school	yes and other activities that middle aged children can do	what kind of school subject are you interested in making the halloween activities for	I don't know.	are you interested in middle school halloween activities worksheets	yes.
449	449	225	F0515	Find Pittsburgh Steelers merchandise for sale.	I'm looking for black and gold.	are you looking for objects that are black and gold	no im looking for pittsburgh steelers memorabilia for sale	are you wanting to find black and gold logos	No, im looking for Pittsburgh steels merchandise	do you need directions to the nearest black and gold store	No
450	450	242	F0560	Which beans can be substituted for cannellini beans?	cannellini beans	would you like to know where cannellini beans come from	no i need to know what i can use as a substitution for cannelloni beans	are you trying to find uses for cannellini beans	No, I need to know what i can use in place of cannellini beans	are you interested in where to buy cannellini beans	No just what beans can be exchanged for them.
451	451	275	F0680	What methods were used for the recovery of the USS Cole?	Tell me about USS Cole.	are you interested in the history of the uss cole	no im interested in the recovery method of the uss cole	are you interested in learning more of the uss cole bombing	What I really want to find out is how the USS Cole was recovered after the bombing.	would you like to know how many deaths occured in the uss cole bombing	No, I would like to know how did they recover the USS Cole after the bombing.
452	452	237	F0548	What are some of the causes for a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	i would like to know what are some of the causes for a lump in the throat	do you wish to see possible causes of a lump in throat	Yes,that's right.	are you interested in the reasons a lump in the throat occurs	Yes, I want to know the reasons they form?
453	453	253	F0593	What treatments are available for a tooth abscess?	What treatments are available for a tooth abscess?	would you like to learn about home remedies for treating a tooth abscess	yes i am looking for treatments available for a tooth abscess	would you like to know the symptoms of a tooth abscess	No.	are you interested in the causes of tooth abscesses	No, I would like to know what treatments are available.
454	454	273	F0668	What diet should a person with Wilson's disease follow?	Give me information on wilson's disease.	do you want information on the treatment of wilsons disease	no	would you like to know about potential cures for wilsons disease	I want to what diet is best for it.	would you like to know the typical treatment for wilsons disease	No, I want to know about what is the best diet to follow when you have Wilson's disease.
455	455	225	F0516	Find information about Purdue University sports program.	I'm looking for black and gold.	are you looking for objects that are black and gold	no i want to know about the purdue sports program	are you wanting to find black and gold logos	Tell me about the sports program for Purdue please	are you interested in how the colors black and gold are formed in the color spectrum	No, that's now what I need to know.
456	456	222	F0512	Find information on male menopause supplements.	I'm looking for information on male menopause	are you interested in the differences between male and female menopause	no im interested in supplements to help with male menopause	are you interested to see male menopause jokes	No.	why are you interested in learning more about male menopause	I want to learn about male menopause supplements.
457	457	222	F0510	What is the definition of male menopause?	I'm looking for information on male menopause	would you like to know what age men may start male menopause	no i would like to know the definition of male menopause	why are you interested in learning more about male menopause	I want to know its definition.	are you interested in the differences between male and female menopause	No, I would like the definition of male menopause.
458	458	272	F0664	What do dreams about death mean?	How can I interpret my dreams	would you like an app on dreams interpretation	that could be helpful i want to know what dreams about death mean	do you what to know about interpretation of decease in dreams	yes, that's right	do you want to know what dreams mean	I just want to know what dreams about death mean.
459	459	258	F0617	What are the advantages and disadvantages of a hip roof over other roof types?	Find information on hip roof	would you like to know how to frame a hip roof	no i would just like to know the advantages and disadvantages	would you like to know the different designs of hip roofs	No, I would like to know why I should use a hip roof.	do you want to know the advantages and disadvantages of hip roofs	Yes, exactly. I want to know the advantages and disadvantages of hip roofs.
460	460	289	F0722	What are the benefits of yoga for kids?	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	no i would like to know benefits of yoga for kids	are you interested in benefits of yoga classes	Yes, but only for yoga classes for children.	are you referring to benefits of yoga essay	no, I am referring to benefits of yoga for kids.
461	461	294	F0749	Which flowering plants do well in the shade?	tell me more flowering plants	how big would you like your flowering plants to get	i would like them to be no higher than 5 inches	how much gardening do you want with your flowering plant	I want to know about gardening in shaded areas.	do you want to know about distinctive features of a flowering plant	No, just how they perform in the shade.
462	462	294	F0747	What are the names of some flowering plants?	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	yes i want to know about the distinctive features of flowering plants and their name	how much gardening do you want with your flowering plant	Just tell me about the distinctive features please.	how big would you like your flowering plants to get	No, I just want to know the names of all the flowering plants, please.
463	463	210	F0462	Compare Bushnell, Callaway and Garmin golf gps systems.	golf gps	would you like to buy a golf gps system	i am interested in comparing golf gps systems	would you like a comparison of golf gps systems	Yes as stated	would you like to know how gps systems are used in golf	No, I just want to compare systems between the major brands.
464	464	248	F0581	What is the shelf life of a chicken egg---that is, how old can it be and still be safe to eat?	What is the shelf life of an egg?	are you referring to uncooked eggs or an egg product	i am referring to uncooked chicken eggs and the amount of time that must go by before these eggs are unsafe to eat	would you like to know how long eggs last past their expiration	Yes	are you asking about the shelf life of refrigerated or unrefrigerated eggs	I would like info on both.
465	465	294	F0750	When did flowering plants first appear?	tell me more flowering plants	how big would you like your flowering plants to get	i want to know the first sighting of flowering plants	how much gardening do you want with your flowering plant	I need to know when the plants first flower	do you want to know about distinctive features of a flowering plant	How old was the earth when plants with flowers first appeared?
466	466	215	F0482	Find the phone numbers for units within the Maryland Department of Natural Resources.	Info on maryland department of natural resources	do you want to know the location of maryland department of natural resources	yes i want to know about the phone number for units within the maryland department of natural resources	would you like to know the responsibilities of the maryland department of natural resources	No, just give me their number	are you interested in jobs available in maryland department of natural resources	No just the phone numbers for the units.
467	467	249	F0586	What are the requirements to become an occupational therapist?	What is an occupational therapist?	do you want to find an occupational therapist	no i want to find the requirements for this job not where one is located	what area do you need an occupational therapist in	That doesn't matter. I just need to know what I need to become one.	are you looking for an occupational therapist	Im just looking for what it takes to become one?
468	468	216	F0489	What is the next movie Nicolas Cage will appear in?	which are famous movies where Nicolas Cage appeared?	would you like to see the top ten most popular nicolas cage movies	no just the one still to be released	would you like to see a list of nicolas cage movies	No just the title of his newest movie that has not been released yet.	quiz time which 2011 film featured nicolas cage	I don't know.
469	469	202	F0427	Find the home page of the USS Carl Vinson ombudsman.	Give me information on uss carl vinson.	where is basis of uss carl vilson	i would like to know the home page of uss carl vilson	are you interested in the uss carl vinsons dimensions	Yes, please get me the home page of the USS Carl Vinson ombudsman.	is uss carl vilson log available	No I want to contact USS Carl Vinson ombudsman.
470	470	213	F0476	Find the causes of CTS.	I'm looking for information on carpal tunnel syndrome	would you like to know how to prevent carpal tunnel syndrome	no i need to know what causes carpal tunnel syndrome	would you like know about carpal tunnel syndrome	Yes, I want to know its causes.	would you like know about causes for carpal tunnel syndrome	Yes, that is exactly what I am looking for.
471	471	281	F0706	How does a ketogenic diet help with epilepsy?	What is a ketogenic diet?	are you looking for diet information	I don't understand your question.	do you want to learn about the history of dieting	Does a ketogenic diet help with epilepsy?	are you interested in reading some inspirational quotations about dieting	No, need to know if a ketogenic diet helps with epilepsy as I stated before.
472	472	213	F0473	What are the symptoms of carpal tunnel syndrome (CTS)?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	no im interested in the symptoms of the disease	would you like to know how to prevent carpal tunnel syndrome	Well, in order to prevent carpal tunnell syndrom, I would first need to need to know what the symptoms of the diease are please.	do you want to know the symptoms of carpal tunnel syndrome	Yes I do.
473	473	237	F0547	Find information about a lump in the throat caused by the thyroid.	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	no id like to know about a lump in the throat in relation to the thyroid	can thyroid problem cause a lump in the throat	You tell me and while you are at it find out what information is available about those lumps.	what type of medical information on lumps in the throat would you like	Please explain an enlarged thyroid gland.
474	474	291	F0743	Find ranches for sale in the Sangre de Cristo mountains area.	tell me about sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	no i want to know about ranches that are for sale in them	are you interested in finding lodging at sangre de cristo mountains	No.	are you interested in real estate near the sangre de cristo mountains	Yes, I am, specifically ranches for sale.
475	475	272	F0662	What do dreams about spiders mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	no id like to know what dreams about spiders mean	do you want to know what dreams mean	Yes but ones about creepy icky spiders!	would you like an app on dreams interpretation	Yes, I would like to knwo what dreams on spiders mean.
476	476	294	F0748	What is the definition of a flowering plant?	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	no i need its definition only	how much gardening do you want with your flowering plant	I don't know	how big would you like your flowering plants to get	I just want to know the definition of what a flowering plant is.
477	477	216	F0490	What was the movie Nicolas Cage appeared in that was released in 2011?	which are famous movies where Nicolas Cage appeared?	would you like to see the top ten most popular nicolas cage movies	no only the one that was released in 2011	quiz time which 2011 film featured nicolas cage	I don't know.	would you like to see a list of nicolas cage movies	Just the one that was released in 2011.
478	478	278	F0686	What characters inhabited Mister Rogers' Neighborhood?	Find information about mister rogers	are you interested in the details of mister rogers life	no i want to know what characters lived in his neighborhood	are you interested in the mister rogers movie	I don't know.	do you want to know what years mister rogers aired on television	No, I want information about the characters on the Mister Rogers TV show.
479	479	215	F0487	Find Maryland DNR fishing reports.	Info on maryland department of natural resources	do you want to know what jobs are available at the maryland department of natural resources	i want to know dnr fishing reports	are you referring to the the department of natural resources in maryland	Yes, that is whose fishing reports I want to see.	what information are you looking for regarding maryland department of natural resources	I would like to see their fishing reports.
480	480	208	F0448	Who's in the cast of the Doctor Zhivago movie?	tell me more about Doctor Zhivago	do you want to know if doctor zhivago is a real person	no i want to know the actors that played in the film doctor zhivago	are you asking about the movie doctor zhivago	I want to know the actors involved in the making of the Doctor Zhvago movie.	do you want to know which actor played doctor zhivago in the movie	Yes, as well as the names of the other actors in the cast.
481	481	254	F0600	Is there a link between Barrett's Esophagus and cancer?	Tell me about barrett's esophagus	would you like to know what is a suitable feet for someone who has barrets esophagus	yes	do you want to know what barrets esophagus is	Information on whether Barreys Esophagu is related to Cancer.	do you want to learn more about the risk factors for barretts esophagus	Only if it is related to cancer.
482	482	270	F0654	"How does Sun Tzu's ""The Art of War"" apply to business?"	I'm interested in sun tzu	would like to know the story behind sun tzu	i would specifically like to know how his book the art of war can be used in a business setting	are you interested in books written about sun tzu	Yes	would you like to see quotes by sun tzu	Yes, I would like to see quotes in regard to business.
483	483	270	F0656	What are examples of the philosophy of Sun Tzu?	I'm interested in sun tzu	would like to know the story behind sun tzu	no i would like to know some of the ideas of sun tzu and his personal philosophies	are you interested in books written about sun tzu	No I need to know what Sun Tzu said in regards to how he saw the world	are you more interested in how to apply sun tzu philosophy to a business	No, I would like examples of Sun Tzu's philosophy in general.
484	484	269	F0645	Find information about Marshall County Schools in West Virginia.	Find information about marshall county schools.	which state would you like to find out about in regards to marshall county schools	west virginia	what state are you searching for marshall county schools	In West Virginia, in Marshall County.	would like to know a list of marshall county schools in your state	Yes and info about them.
485	485	260	F0628	Find a list of the major battles of the American Revolution.	tell me more about the american revolutionary	would you like me to tell you why the american revolution began	no please give me a list of major battles from the american revolution	do you want the american revolutionary war a specific person or a specific army	I want to know about the biggest battles	are you asking about the revolutionary war	Yes and the major battles fought in it.
